Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Road Cycling,2022-10-11 06:05:37,false,"Cajicá - Resistencia en llano","55.59","980","01:53:27","128","157","3.0","0","0","29.4","53.3","181","192","0.00","0.0","0.0","0","74","168","140","66.6","152","123","627","0.0","0.0","7669","0","0","0","0:00","9.0","0:00","No","00:01.41.1","11","0.0","26","15","37","01:51:04","01:53:27","2,568","2,629"
Road Cycling,2022-10-08 05:50:03,false,"Cajicá Road Cycling","141.02","2,915","06:05:57","127","163","3.9","0","0","23.1","61.7","1,784","1,785","0.00","0.0","0.0","0","73","158","154","258.1","195","111","704","0.0","0.0","20687","0","0","0","0:00","10.0","0:00","No","11:05.19","18","0.0","26","14","38","06:04:52","10:21:01","1,491","2,729"
Road Cycling,2022-10-07 06:06:44,false,"Purificación - Resistencia en llano","52.39","864","02:07:29","105","130","2.3","0","0","24.7","39.1","154","162","0.00","0.0","0.0","0","71","160","115","50.5","118","92","522","0.0","0.0","7471","0","0","0","0:00","23.0","0:00","No","00:30.53.4","9","0.0","21","14","28","02:02:24","02:17:51","296","327"
Road Cycling,2022-10-06 05:01:20,false,"Purificación - Intervalos 2S 5x3' en Z5","49.11","905","01:54:12","111","153","2.7","0","0","25.8","43.8","186","203","0.00","0.0","0.0","0","68","145","156","83.2","147","112","580","0.0","0.0","6999","0","0","0","0:00","23.0","0:00","No","03:00.00","16","0.0","22","13","34","01:54:10","01:54:12","308","347"
Road Cycling,2022-10-05 05:49:10,false,"Purificación Road Cycling","43.64","1,043","01:55:17","129","181","4.1","0","0","22.7","47.4","558","553","0.00","0.0","0.0","0","68","153","182","114.2","247","129","523","0.0","0.0","6884","0","0","0","0:00","21.0","0:00","No","01:22.51.1","7","0.0","27","12","43","01:55:12","01:59:34","308","742"
Road Cycling,2022-10-02 13:25:56,false,"Ibague Road Cycling","7.74","86","00:24:15","0","0","0.3","0","0","19.2","42.7","47","253","0.00","0.0","0.0","0","50","94","87","6.1","44","38","269","0.0","0.0","533","0","0","0","0:00","32.0","0:00","No","24:14.88.6","1","0.0","--","--","--","00:24:10","00:24:54","1,224","1,435"
Road Cycling,2022-10-02 11:16:25,false,"Cajamarca Road Cycling","19.99","75","00:39:29","114","129","1.2","0","0","30.4","61.6","19","1,377","0.00","0.0","0.0","0","36","97","54","3.8","20","10","301","0.0","0.0","221","0","0","0","0:00","19.0","0:00","No","10:47.10.1","3","0.0","23","18","28","00:35:41","00:42:04","1,840","3,146"
Road Cycling,2022-10-02 06:00:43,false,"Ibague Road Cycling","52.07","2,317","03:07:43","161","184","5.0","0","0","16.6","63.4","2,321","463","0.00","0.0","0.0","0","73","134","207","270.4","226","185","704","0.0","0.0","12908","0","0","0","0:00","16.0","0:00","No","19:53.80.5","7","0.0","37","15","43","03:06:55","04:31:50","1,148","3,283"
Road Cycling,2022-10-01 12:37:42,false,"Ibague Road Cycling","5.64","149","00:22:51","119","135","1.2","0","0","14.8","38.9","125","9","0.00","0.0","0.0","0","63","167","108","9.3","87","88","435","0.0","0.0","1172","0","0","0","0:00","31.0","0:00","No","22:50.97.9","1","0.0","24","18","29","00:22:40","00:24:26","1,115","1,220"
Road Cycling,2022-10-01 09:22:46,false,"Ibague - Recovery","43.96","854","02:35:01","103","137","2.3","0","0","17.0","46.7","445","511","0.00","0.0","0.0","0","64","252","107","54.0","124","81","613","0.0","0.0","6368","0","0","0","0:00","26.0","0:00","No","06:11.51.5","7","0.0","20","12","31","02:02:48","02:51:53","714","1,198"
