Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Cadencia de carrera media,Cadencia de carrera máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Normalized Power® (NP®),Training Stress Score®,Potencia media máxima (20 minutos),Potencia media,Potencia máxima,Dificultad,Fluidez,Brazadas totales,Swolf medio,Velocidad media de palada,Repeticiones totales,Series totales,Tiempo de inmersión,Temperatura mínima,Intervalo en superficie,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Ciclismo virtual,2022-10-11 18:21:37,false,"Zwift - Tempus Fugit in Watopia","26.09","322","00:52:22","--","--","0","0","29.9","37.1","38","--","0.00","0.0","0.0","0","74","126","112","0.0","118","108","197","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","52:22.11","1","0.0","00:51:39","00:52:21","13","18"
Ciclismo en sala,2022-10-11 18:21:29,false,"Ciclismo en sala","20.84","286","00:52:05","137","157","0","0","24.0","32.6","--","--","0.00","0.0","0.0","0","74","119","--","0.0","--","0","0","0.0","0.0","3852","0","0","0","--","0:00","0.0","0:00","No","52:04.97.6","1","0.0","00:51:59","00:52:29","--","--"
Caminar,2022-10-11 11:00:07,false,"Sabaneta Caminar","0.66","35","00:08:13.6","113","123","114","130","12:26","10:20","13","--","0.71","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","08:13.55.3","1","0.0","00:08:10","00:08:51.6","1,599","1,640"
Ciclismo,2022-10-09 06:56:39,false,"El Retiro Ciclismo","54.75","1,035","02:46:16","160","187","0","0","19.8","41.3","891","900","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:46:16.19.5","1","0.0","02:44:30","04:08:51","2,060","2,444"
Ciclismo,2022-10-08 10:24:12,false,"Medellín Ciclismo","32.14","452","01:21:17","148","178","0","0","23.7","35.1","68","51","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:21:17.23","1","0.0","01:20:43","01:37:41","1,486","1,542"
Ciclismo virtual,2022-10-07 11:31:19,false,"Zwift - Race: EVO CC Womens Sprint Race Series (D) on Neokyo Crit Course in Makuri Islands","32.08","424","01:08:14","--","--","0","0","28.2","38.1","162","--","0.00","0.0","0.0","0","72","84","111","0.0","114","108","163","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:08:14.14.8","1","0.0","01:07:12","01:08:14","123","132"
Ciclismo en sala,2022-10-07 11:30:27,false,"Ciclismo en sala","26.94","361","01:08:13","137","153","0","0","23.7","27.3","--","--","0.00","0.0","0.0","0","72","85","--","0.0","--","0","0","0.0","0.0","4979","0","0","0","--","0:00","0.0","0:00","No","01:08:13.44.9","1","0.0","01:08:11","01:09:05","--","--"
Caminar,2022-10-06 17:52:01,false,"Medellín Caminar","2.69","120","00:36:11","101","131","109","209","13:28","9:39","--","182","0.68","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","08:16.92","3","0.0","00:35:58","00:37:47","1,494","1,686"
Ciclismo virtual,2022-10-06 12:15:01,false,"Zwift - Group Ride: Liv Velocity Social Ride (D) on Tempus Fugit in Watopia","37.43","440","01:09:59","--","--","0","0","32.1","41.7","57","--","0.00","0.0","0.0","0","74","116","118","0.0","125","110","379","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:09:59.47.5","1","0.0","01:07:56","01:10:56","13","18"
Ciclismo en sala,2022-10-06 12:13:06,false,"Ciclismo en sala","28.19","448","01:10:29","152","182","0","0","24.0","34.9","--","--","0.00","0.0","0.0","0","75","116","--","0.0","--","0","0","0.0","0.0","5288","0","0","0","--","0:00","0.0","0:00","No","01:10:28.77.1","1","0.0","01:10:23","01:12:46","--","--"
Ciclismo virtual,2022-10-05 10:03:35,false,"Zwift - Group Workout: Espaol | Finish Line Ride | ZA Road 2022 on Legends and Lava in Watopia","26.67","410","01:00:14","--","--","0","0","26.6","51.0","352","--","0.00","0.0","0.0","0","74","94","135","0.0","129","115","366","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:06.99.9","2","0.0","01:00:13","01:00:13","-6","132"
Ciclismo en sala,2022-10-05 10:02:04,false,"Ciclismo en sala","22.55","424","01:01:07","159","187","0","0","22.1","37.8","--","--","0.00","0.0","0.0","0","74","96","--","0.0","--","0","0","0.0","0.0","4542","0","0","0","--","0:00","0.0","0:00","No","01:01:06.89.9","1","0.0","01:01:00","01:01:16","--","--"
Entreno de fuerza,2022-10-04 13:13:30,false,"Fuerza","0.00","94","00:35:21","98","135","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","16","1","0:00","0.0","0:00","No","35:20.92.2","1","0.0","00:35:21","00:35:21","--","--"
Ciclismo virtual,2022-10-04 12:01:03,false,"Zwift - Group Workout: Women Only | Long | Push the Pain Barrier | ZA Road 2022 on Tick Tock in Watopia","20.64","278","00:48:44","--","--","0","0","25.4","42.7","59","--","0.00","0.0","0.0","0","79","94","113","0.0","108","99","200","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:15.00","31","0.0","00:48:38","00:48:45","-6","28"
Ciclismo en sala,2022-10-04 12:00:21,false,"Ciclismo en sala","20.76","282","00:48:59","143","174","0","0","25.4","30.8","--","--","0.00","0.0","0.0","0","79","94","--","0.0","--","0","0","0.0","0.0","3896","0","0","0","--","0:00","0.0","0:00","No","48:58.99.8","1","0.0","00:48:54","00:49:20","--","--"
Caminar,2022-10-02 14:04:38,false,"Guarne Caminar","0.97","86","00:27:01","109","147","69","159","27:55","11:50","30","81","0.52","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","27:01.07.7","1","0.0","00:26:21","00:53:30","2,439","2,481"
Caminar,2022-10-01 17:35:38,false,"Medellín Caminar","2.56","157","00:46:53","91","148","54","160","18:18","7:14","13","9","1.08","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","11:14.72.8","3","0.0","00:46:35","00:50:47","1,505","1,514"
Caminar,2022-10-01 15:59:39,false,"Medellín Caminar","0.66","38","00:13:59","87","111","60","159","21:04","3:32","2","2","0.79","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","13:59.34.3","1","0.0","00:13:35","00:20:17","1,513","1,518"
Ciclismo virtual,2022-10-01 10:52:29,false,"Zwift - The Highline in New York","20.18","329","00:50:37","--","--","0","0","23.9","66.0","342","--","0.00","0.0","0.0","0","69","90","123","0.0","122","113","235","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","50:37.00","1","0.0","00:50:32","00:50:37","36","133"
Ciclismo en sala,2022-10-01 10:52:21,false,"Ciclismo en sala","16.65","341","00:50:37","156","179","0","0","19.7","31.0","--","--","0.00","0.0","0.0","0","68","95","--","0.0","--","0","0","0.0","0.0","3480","0","0","0","--","0:00","0.0","0:00","No","50:37.34.5","1","0.0","00:50:32","00:50:40","--","--"
Caminar,2022-09-30 13:54:02,false,"Medellín Caminar","0.47","59","00:12:21","128","155","77","158","26:10","11:06","42","--","0.49","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","12:21.34.3","1","0.0","00:12:11","00:13:52","1,708","1,761"
Caminar,2022-09-30 12:50:25,false,"Medellín Caminar","0.43","26","00:09:44.4","97","118","73","154","22:26","3:35","5","17","0.61","0.0","0.0","0","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","09:44.39.2","1","0.0","00:09:17","00:31:03","1,732","1,756"
Ciclismo virtual,2022-09-30 10:34:38,false,"Zwift - Terrain Ride on Casse-Pattes in France","24.60","332","00:50:54","--","--","0","0","29.0","46.0","133","--","0.00","0.0","0.0","0","78","97","119","0.0","124","113","212","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:20.00","22","0.0","00:50:36","00:51:04","10","34"
