Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Tiempo,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Cadencia de carrera media,Cadencia de carrera máxima,Velocidad media,Velocidad máxima,Ascenso total,Descenso total,Longitud media de zancada,Relación vertical media,Oscilación vertical media,Tiempo medio de contacto con el suelo,Cadencia media de pedaleo,Cadencia de pedaleo máxima,Training Stress Score®,Potencia media,Potencia máxima,Dificultad,Fluidez,Brazadas totales,Swolf medio,Velocidad media de palada,Repeticiones totales,Tiempo de inmersión,Temperatura mínima,Intervalo en superficie,Descompresión,Mejor tiempo de vuelta,Número de vueltas,Temperatura máxima,Ritmo medio de respiración,Ritmo mínimo de respiración,Ritmo máximo de respiración,Cambio en el estrés,Inicio del periodo de estrés,Fin del periodo de estrés,Estrés medio,Tiempo en movimiento,Tiempo transcurrido,Altura mínima,Altura máxima
Ciclismo,2022-10-07 06:05:15,false,"Purificación Ciclismo","50.78","905","02:04:34","141","163","0","0","24.5","39.5","94","99","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","07:41.02.4","11","0.0","--","--","--","--","--","--","--","01:56:27","02:04:34","300","327"
Ciclismo,2022-10-01 10:22:07,false,"Ibagué Ciclismo","39.07","1,087","01:54:16","156","178","0","0","20.5","46.7","417","417","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","07:59.37.7","8","0.0","--","--","--","--","--","--","--","01:49:23","01:54:16","652","1,058"
Ciclismo,2022-10-01 09:19:38,false,"Ibagué Ciclismo","7.14","238","00:51:54","109","154","0","0","8.2","38.6","13","142","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","17:06.94.7","2","0.0","--","--","--","--","--","--","--","00:32:09","00:51:54","1,048","1,179"
Ciclismo,2022-09-30 06:06:34,false,"Ibagué Ciclismo","41.23","994","01:59:52","149","169","0","0","20.6","61.3","483","484","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","04:41.56.3","9","0.0","--","--","--","--","--","--","--","01:53:30","01:59:52","729","1,180"
Ciclismo,2022-09-28 05:59:43,false,"Cajicá Ciclismo","28.63","675","01:35:24","132","172","0","0","18.0","46.4","449","449","0.00","0.0","0.0","0","58","111","0.0","0","0","0.0","0.0","4123","0","0","0","0:00","0.0","0:00","No","09:42.25.8","6","0.0","--","--","--","--","--","--","--","01:30:42","01:35:24","2,552","2,831"
Ciclismo en sala,2022-09-27 09:59:22,false,"Ciclismo en sala","0.00","346","00:35:06","156","172","0","0","--","--","--","--","0.00","0.0","0.0","0","68","91","0.0","0","0","0.0","0.0","2321","0","0","0","0:00","0.0","0:00","No","35:06.37.8","1","0.0","--","--","--","--","--","--","--","00:00:00","00:35:10","--","--"
Ciclismo en sala,2022-09-27 09:52:40,false,"Ciclismo en sala","0.00","36","00:03:51.1","146","153","0","0","--","--","--","--","0.00","0.0","0.0","0","68","76","0.0","0","0","0.0","0.0","263","0","0","0","0:00","0.0","0:00","No","00:09.36.9","2","0.0","--","--","--","--","--","--","--","00:00:00","00:03:51.1","--","--"
Ciclismo en sala,2022-09-27 09:49:26,false,"Ciclismo en sala","0.00","17","00:01:54.6","147","150","0","0","--","--","--","--","0.00","0.0","0.0","0","64","75","0.0","0","0","0.0","0.0","124","0","0","0","0:00","0.0","0:00","No","00:01.78.4","3","0.0","--","--","--","--","--","--","--","00:00:00","00:01:55.8","--","--"
Ciclismo en sala,2022-09-27 09:41:40,false,"Ciclismo en sala","0.00","44","00:06:07.2","124","146","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:02.21.3","2","0.0","--","--","--","--","--","--","--","00:00:00","00:06:07.2","--","--"
Ciclismo,2022-09-23 06:14:27,false,"Cajicá Ciclismo","36.29","736","01:33:05","143","170","0","0","23.4","41.0","111","106","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","04:00.24.8","8","0.0","--","--","--","--","--","--","--","01:31:34","01:33:05","2,547","2,585"
Ciclismo,2022-09-22 05:40:09,false,"Cajicá Ciclismo","39.38","775","01:41:20","144","166","0","0","23.3","51.0","244","244","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","10:54.48.9","8","0.0","--","--","--","--","--","--","--","01:39:19","01:41:29","2,552","2,618"
Trabajo de respiración,2022-09-11 23:19:41,false,"Relaj. y concentr.","0.00","--","00:05:40.8","68","77","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:02.78.6","104","0.0","5","4","5","-19","42","23","27","00:00:00","00:05:40.8","--","--"
Caminar,2022-07-03 16:58:51,false,"Boston Caminar","1.77","128","00:30:11","104","123","81","159","17:04","9:24","26","25","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","13:18.97.8","2","0.0","--","--","--","--","--","--","--","00:22:31","00:30:11","3","31"
Caminar,2022-07-03 13:41:36,false,"Boston Caminar","1.11","85","00:28:06","87","101","54","190","25:17","7:14","67","77","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","07:31.39","2","0.0","--","--","--","--","--","--","--","00:14:28","00:28:06","5","46"
Caminar,2022-07-03 10:28:06,false,"Boston Caminar","5.42","331","01:52:14","81","104","62","168","20:42","5:14","19","7","0.77","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","11:56.80.9","6","0.0","--","--","--","--","--","--","--","01:07:04","01:52:40","--","26"
Caminar,2022-06-18 17:42:25,false,"New York Caminar","12.08","608","03:28:30","71","104","60","239","17:15","1:56","1,679","1,638","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","03:40.30","13","0.0","--","--","--","--","--","--","--","02:07:39","03:28:30","-78","139"
Caminar,2022-06-06 11:59:35,false,"New York Caminar","5.49","360","01:29:12","93","110","75","159","16:16","5:06","81","81","0.84","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","12:05.86.9","6","0.0","--","--","--","--","--","--","--","01:06:19","01:29:12","14","53"
Cardio,2022-06-04 18:09:19,false,"Cardio","0.00","395","00:46:14","146","172","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:11.41.1","2","0.0","--","--","--","--","--","--","--","00:00:00","00:46:14","--","--"
Ciclismo en sala,2022-05-19 10:20:24,false,"Ciclismo en sala","0.00","380","00:41:44","145","166","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","41:44.32.7","1","0.0","--","--","--","--","--","--","--","00:00:00","00:41:44","--","--"
Ciclismo en sala,2022-05-16 10:36:37,false,"Ciclismo en sala","13.32","303","00:33:21","145","167","0","0","24.0","46.0","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:07.79.5","4","0.0","--","--","--","--","--","--","--","00:32:43","00:33:21","--","--"
Ciclismo,2022-05-14 08:19:25,false,"Cajicá Ciclismo","29.22","689","01:42:03","136","173","0","0","17.2","44.7","386","357","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","11:53.90.5","6","0.0","--","--","--","--","--","--","--","01:36:03","01:42:03","2,557","2,651"
Ciclismo,2022-05-11 07:00:36,false,"Cajicá Ciclismo","28.54","706","01:44:42","140","170","0","0","16.4","39.5","448","410","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:06.51.3","7","0.0","--","--","--","--","--","--","--","01:34:52","01:44:47","2,553","2,830"
Ciclismo,2022-05-10 06:31:59,false,"Cajicá Ciclismo","23.97","676","02:50:56","115","167","0","0","8.4","88.3","412","377","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:04.58.4","7","0.0","--","--","--","--","--","--","--","01:15:48","02:51:11","2,553","2,658"
Ciclismo,2022-04-02 08:43:40,false,"Sopó Ciclismo","53.47","1,032","03:01:59","131","170","0","0","17.6","54.8","444","443","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","09:17.28.1","11","0.0","--","--","--","--","--","--","--","02:24:50","03:02:39","2,558","2,746"
Ciclismo,2022-03-29 06:20:40,false,"Cajicá Ciclismo","28.38","646","01:38:09","138","167","0","0","17.4","39.0","561","561","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","09:08.85.6","6","0.0","--","--","--","--","--","--","--","01:31:06","01:38:09","2,552","2,831"
Ciclismo,2022-03-26 07:22:01,false,"Cajicá Ciclismo","51.02","978","02:19:24","141","171","0","0","22.0","49.3","290","292","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","07:47.05.8","7","0.0","--","--","--","--","--","--","--","02:05:03","02:19:24","2,552","2,681"
Ciclismo,2022-03-20 09:59:26,false,"Santafé de Antioquia Ciclismo","0.01","--","00:01:19.4","73","81","0","0","0.3","12.9","28","28","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:01.34.8","9","0.0","--","--","--","--","--","--","--","00:00:01","01:23:14","555","594"
