Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Road Cycling,2022-10-09 06:56:29,false,"Bogota, D.C. - Resistencia con montaña","105.11","1,921","04:14:43","154","190","5.0","0","0","24.8","73.1","1,659","1,631","0.00","0.0","0.0","0","80","118","136","293.6","171","132","359","0.0","0.0","17398","0","0","0","0:00","14.0","0:00","No","00:31.33.6","16","0.0","33","14","49","04:14:23","07:14:36","2,202","2,829"
Road Cycling,2022-10-08 06:35:24,false,"Bogota, D.C. Road Cycling","119.82","2,125","05:24:42","146","192","5.0","0","0","22.1","63.0","1,776","1,770","0.00","0.0","0.0","0","78","120","128","329.0","163","122","423","0.0","0.0","19899","0","0","0","0:00","13.0","0:00","No","10:44.76.5","15","0.0","29","11","43","05:22:23","09:28:46","1,513","2,752"
Road Cycling,2022-10-07 05:50:43,false,"Bogota, D.C. - Resistencia en llano","58.76","792","02:08:49","137","159","3.3","0","0","27.4","49.5","156","168","0.00","0.0","0.0","0","87","104","95","72.1","103","96","167","0.0","0.0","10415","0","0","0","0:00","8.0","0:00","No","05:00.00","10","0.0","31","17","43","02:08:30","02:11:25","2,559","2,639"
Road Cycling,2022-10-06 06:02:08,false,"Bogota, D.C. - Intervalos","58.03","800","01:59:26","143","180","3.8","0","0","29.2","47.5","152","146","0.00","0.0","0.0","0","86","110","115","98.0","125","103","227","0.0","0.0","9805","0","0","0","0:00","11.0","0:00","No","01:00.00","19","0.0","32","19","44","01:59:15","02:05:37","2,556","2,646"
Road Cycling,2022-10-05 06:06:17,false,"Bogota, D.C. - Resistencia en llano","58.86","802","01:59:07","144","161","3.5","0","0","29.6","47.9","158","162","0.00","0.0","0.0","0","89","106","104","78.9","109","102","169","0.0","0.0","10083","0","0","0","0:00","10.0","0:00","No","03:40.18.2","9","0.0","32","20","42","01:58:49","02:01:48","2,541","2,601"
Road Cycling,2022-10-04 05:33:11,false,"Bogota, D.C. - Tempo 2 x 20'","58.75","815","01:57:38","150","174","3.9","0","0","30.0","48.0","157","164","0.00","0.0","0.0","0","91","111","109","86.6","128","104","228","0.0","0.0","10376","0","0","0","0:00","7.0","0:00","No","05:48.00.7","10","0.0","32","21","41","01:57:36","01:59:01","2,560","2,622"
Road Cycling,2022-10-02 07:32:50,false,"Bogota, D.C. Road Cycling","112.55","2,221","05:18:55","159","192","5.0","0","0","21.2","72.8","1,961","1,933","0.00","0.0","0.0","0","76","116","120","282.9","157","113","265","0.0","0.0","21702","0","0","0","0:00","15.0","0:00","No","09:08.12.5","14","0.0","33","15","46","05:18:42","06:24:54","1,305","2,863"
Road Cycling,2022-10-01 10:41:26,false,"Bogota, D.C. - Recovery","41.83","516","01:40:06","120","148","2.6","0","0","25.1","48.1","103","92","0.00","0.0","0.0","0","87","108","74","34.2","78","75","298","0.0","0.0","8271","0","0","0","0:00","16.0","0:00","No","00:53.82.3","7","0.0","31","20","37","01:39:56","01:40:59","2,560","2,642"
Road Cycling,2022-09-30 05:03:57,false,"Bogota, D.C. - Resistencia en llano","58.90","771","01:55:35","145","159","3.5","0","0","30.6","48.1","150","162","0.00","0.0","0.0","0","88","106","102","73.9","109","100","200","0.0","0.0","9864","0","0","0","0:00","10.0","0:00","No","04:01.75.7","9","0.0","32","22","43","01:55:17","01:55:58","2,553","2,629"
Road Cycling,2022-09-29 06:02:46,false,"Bogota, D.C. - Resistencia con montaña","66.73","1,088","02:32:10","155","187","5.0","0","0","26.3","66.2","667","670","0.00","0.0","0.0","0","83","109","124","145.3","161","114","220","0.0","0.0","11740","0","0","0","0:00","11.0","0:00","No","00:13.85.4","12","0.0","35","13","45","02:32:05","02:33:22","2,535","2,840"
