cod_codazzi;pais;departamento;ciudad;municipio;periodo
16947318024;COLOMBIA;MAGDALENA;GUAMAL;VILLA NUEVA;20210611
16947318025;COLOMBIA;MAGDALENA;GUAMAL;EL VEINTIOCHO;20210611
16947318026;COLOMBIA;MAGDALENA;GUAMAL;PUEBLO NUEVO;20210611
16947460000;COLOMBIA;MAGDALENA;NUEVA GRANADA;GRANADA;20210611
16947460001;COLOMBIA;MAGDALENA;NUEVA GRANADA;EL BAJO;20210611
16947460002;COLOMBIA;MAGDALENA;NUEVA GRANADA;LA GLORIA;20210611
16947460003;COLOMBIA;MAGDALENA;NUEVA GRANADA;LAS TINAS;20210611
16947460004;COLOMBIA;MAGDALENA;NUEVA GRANADA;LOS ANDES;20210611
16947460006;COLOMBIA;MAGDALENA;NUEVA GRANADA;SAN JOSE DE BALLESTERO;20210611
16947541000;COLOMBIA;MAGDALENA;PEDRAZA;PEDRAZA;20210611
16947541001;COLOMBIA;MAGDALENA;PEDRAZA;BAHIAHONDA;20210611
16947541003;COLOMBIA;MAGDALENA;PEDRAZA;BOMBA;20210611
16947541004;COLOMBIA;MAGDALENA;PEDRAZA;CANO DE AGUAS;20210611
16947541005;COLOMBIA;MAGDALENA;PEDRAZA;CAPUCHO;20210611
16947541007;COLOMBIA;MAGDALENA;PEDRAZA;GUAQUIRI;20210611
16947541008;COLOMBIA;MAGDALENA;PEDRAZA;HEREDIA;20210611
16947541009;COLOMBIA;MAGDALENA;PEDRAZA;PUNTA DE IEDRAS;20210611
16947545000;COLOMBIA;MAGDALENA;PIJINO DEL CARMEN;PIJINO DEL CARMEN;20210611
16947545001;COLOMBIA;MAGDALENA;PIJINO DEL CARMEN;CABRERA;20210611
16947545002;COLOMBIA;MAGDALENA;PIJINO DEL CARMEN;FILADELFIA;20210611
16947545003;COLOMBIA;MAGDALENA;PIJINO DEL CARMEN;SAN JOSE DE PREVENCION;20210611
16947545004;COLOMBIA;MAGDALENA;PIJINO DEL CARMEN;CASA BLANCA;20210611
16947545005;COLOMBIA;MAGDALENA;PIJINO DEL CARMEN;LA LUCHA;20210611
16947545006;COLOMBIA;MAGDALENA;PIJINO DEL CARMEN;LAS PLANADAS;20210611
16947545007;COLOMBIA;MAGDALENA;PIJINO DEL CARMEN;EL DIVIDIVI;20210611
16947545008;COLOMBIA;MAGDALENA;PIJINO DEL CARMEN;EL BRILLANTE;20210611
16947545009;COLOMBIA;MAGDALENA;PIJINO DEL CARMEN;LAS MARIAS;20210611
16947551000;COLOMBIA;MAGDALENA;PIVIJAY;PIVIJAY;20210611
16947551001;COLOMBIA;MAGDALENA;PIVIJAY;AVIANCA;20210611
16947551002;COLOMBIA;MAGDALENA;PIVIJAY;CARABALLO;20210611
16947551003;COLOMBIA;MAGDALENA;PIVIJAY;CHINOBLAS;20210611
16947551005;COLOMBIA;MAGDALENA;PIVIJAY;GARRAPATA;20210611
16947551006;COLOMBIA;MAGDALENA;PIVIJAY;LAS CANOAS;20210611
16947551007;COLOMBIA;MAGDALENA;PIVIJAY;LAS PIEDRAS;20210611
16947551008;COLOMBIA;MAGDALENA;PIVIJAY;MEDIALUNA;20210611
16947551009;COLOMBIA;MAGDALENA;PIVIJAY;MONTERRUBIO;20210611
16947551010;COLOMBIA;MAGDALENA;PIVIJAY;PARACO;20210611
16947551011;COLOMBIA;MAGDALENA;PIVIJAY;PARAISO;20210611
16947551012;COLOMBIA;MAGDALENA;PIVIJAY;PINUELAS;20210611
16952287012;COLOMBIA;NARINO;FUNES;TELLEZ ALTO;20210611
16952317000;COLOMBIA;NARINO;GUACHUCAL;GUACHUCAL;20210611
16952317001;COLOMBIA;NARINO;GUACHUCAL;COLIMBA;20210611
16952317002;COLOMBIA;NARINO;GUACHUCAL;CHILLANQUER - EL CONSUELO;20210611
16952317003;COLOMBIA;NARINO;GUACHUCAL;MUELLAMUES;20210611
16952317004;COLOMBIA;NARINO;GUACHUCAL;SAN JOSE DE CHILLANQUER;20210611
16952317005;COLOMBIA;NARINO;GUACHUCAL;LA VICTORIA;20210611
16952320000;COLOMBIA;NARINO;GUAITARILLA;GUAITARILLA;20210611
16952320001;COLOMBIA;NARINO;GUAITARILLA;AHUMADA;20210611
16952320002;COLOMBIA;NARINO;GUAITARILLA;ALEX;20210611
16952320005;COLOMBIA;NARINO;GUAITARILLA;ESPERANZA;20210611
16952320007;COLOMBIA;NARINO;GUAITARILLA;BUENOS AIRES;20210611
16952320016;COLOMBIA;NARINO;GUAITARILLA;EL ROSAL;20210611
